Name,Address,LinkedIn,Website,Email,Lawyers,Lawfields
"Rechtsanwälte Stühlein, Barthelmes & Kollegen","Brückenstr. 2, 96047 Bamberg",No LinkedIn link,http://www.kanzlei-sbk.de/,info@kanzlei-sbk.de,Markus Stühlein; Christian Barthelmes; Stefan Seufert; Michael Fischer,• Fachanwaltschaft Strafrecht • Fachanwaltschaft Verkehrsrecht • Steuerrecht • Zivilrecht • Forderungseinzug & Inkassorecht • Schadensersatzrecht & Schmerzensgeldrecht • Ordnungswidrigkeitenrecht • Arbeitsrecht • Erbrecht • Baurecht & Architektenrecht • Handelsrecht & Gesellschaftsrecht • Allgemeines Vertragsrecht
"Dr. Gorski, Scheibe-In der Stroth, Piotter, Rechtsanwälte, Notar, Fachanwälte","Amselweg 2, 27628 Hagen im Bremischen",No LinkedIn link,http://www.kanzlei-in-hagen.de/,info@kanzlei-in-hagen.de,Vanessa Seevers; Falk Scheibe-In der Stroth; Mareike Piotter; Anna Ziemann,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Erbrecht •  • Fachanwaltschaft Sozialrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Unterhaltsrecht • Verwaltungsrecht • Verkehrsrecht • Zivilrecht • Pferderecht • Allgemeines Vertragsrecht • Öffentliches Recht • Recht rund ums Tier • Agrarrecht • Schwerbehindertenrecht • Werkvertragsrecht • Grundstücksrecht & Immobilienrecht • Sozialversicherungsrecht • Ordnungswidrigkeitenrecht • Mediation • Kaufrecht
WTB Rechtsanwälte,"Albin-Köbis-Str. 4, 51147 Köln",No LinkedIn link,https://www.wtb-rechtsanwaelte.de/,mail@wtb-recht.de,Joachim Thiele; Kathrin Bünger; Thomas Prange,• Strafrecht • Ordnungswidrigkeitenrecht • Verkehrsrecht • Internationales Recht • Schadensersatzrecht & Schmerzensgeldrecht • Verfassungsrecht • Arbeitsrecht
ROSE & PARTNER - Rechtsanwälte Steuerberater,"Jungfernstieg 40, 20354 Hamburg",https://www.linkedin.com/company/rose-&-partner-llp-rechtsanw%C3%A4lte-steuerberater,http://www.rosepartner.de/,hamburg@rosepartner.de,Christian Normann; Dr. Marius G. Hossbach; Dorothee von Detten; Meltem Kolper-Deveci; Dr. Boris Jan Schiemzik; Dr. Bernd Fleischer; Dr. Ronny Jänig LL. M.; Helge Schubert LL.M (Tax); Dott. Francesco Senatore; Dirk Mahler; Thomas Repka; Dr. Michael Demuth; Bernfried Rose LL. M.,Fachanwaltschaft Steuerrecht • Fachanwaltschaft Handelsrecht & Gesellschaftsrecht • Fachanwaltschaft Medizinrecht • Fachanwaltschaft Erbrecht •  • Fachanwaltschaft Gewerblicher Rechtsschutz • Fachanwaltschaft IT-Recht • Grundstücksrecht & Immobilienrecht • Datenschutzrecht • Mediation • Unternehmensrecht & Betriebsnachfolge • Wirtschaftsrecht • Zivilprozessrecht • Urheberrecht & Medienrecht • Schiedsgerichtsbarkeit • Internationales Wirtschaftsrecht • Maklerrecht • Sportrecht • Unterhaltsrecht • Internationales Recht • Arbeitsrecht • Wettbewerbsrecht • Markenrecht • Bankrecht & Kapitalmarktrecht
"Rechtsanwälte Reddemann, Huthoff, Sämann und Partner","Herzlia-Allee 105, 45770 Marl",No LinkedIn link,http://www.anwnotar.de/,anwalt.de-marl@anwnotar.de,Petra Scholz; Thomas Reddemann; Marc Huthoff; Katja Lukassek; André Sämann,Fachanwaltschaft Erbrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Handelsrecht & Gesellschaftsrecht • Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Versicherungsrecht •  • Fachanwaltschaft Medizinrecht • Arzthaftungsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Gewerblicher Rechtsschutz • Allgemeines Vertragsrecht • Mediation • Wirtschaftsrecht • Mietrecht & Wohnungseigentumsrecht • Strafrecht • Baurecht & Architektenrecht • Werkvertragsrecht • Zivilprozessrecht • Grundstücksrecht & Immobilienrecht
Berger & Faoual Rechtsanwälte,"Syrlinstr. 35, 89073 Ulm",No LinkedIn link,http://www.anwalt-ulm.com/,info@anwalt-ulm.com,Frank Berger; Marc Faoual; Katrin Müller-Rohrhirsch,Fachanwaltschaft Strafrecht • Fachanwaltschaft Verkehrsrecht •  • Kaufrecht • Zivilrecht • Arbeitsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Forderungseinzug & Inkassorecht • Erbrecht • Mietrecht & Wohnungseigentumsrecht • Zwangsvollstreckungsrecht • Ordnungswidrigkeitenrecht
MTR Legal Rechtsanwälte,"Konrad‑Adenauer‑Ufer 83, 50668 Köln",https://www.linkedin.com/company/mtr-rechtsanwaltsgesellschaft-mbh,https://www.mtrlegal.com/,info@mtrlegal.com,Michael Rainer; Marc Klaas; Alexander Gottstein LL.B.; Michael Below LL.M.,Handelsrecht & Gesellschaftsrecht • Wirtschaftsrecht • Bankrecht & Kapitalmarktrecht • Steuerrecht • Erbrecht •  • Arbeitsrecht
Rechtsanwälte Ritzer Gelhorn Reber,"Ludwigstr. 3, 85049 Ingolstadt",No LinkedIn link,http://www.ra-ritzer-gelhorn.com/,elisabeth.ritzer@kanzlei-in.de,Mario Eisenhut; Bettina Hetke; Elisabeth Ritzer-Reber; Tobias Reber; Friedrich Ritzer; Claus Gelhorn,Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Bankrecht & Kapitalmarktrecht • Fachanwaltschaft Erbrecht •  • Fachanwaltschaft Arbeitsrecht • Allgemeines Vertragsrecht • Zivilrecht • Handelsrecht & Gesellschaftsrecht • Verkehrsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Forderungseinzug & Inkassorecht • Strafrecht • Baurecht & Architektenrecht • Grundstücksrecht & Immobilienrecht • Werkvertragsrecht • Maklerrecht
BÖSCH & KALAGI Rechtsanwälte Partnerschaft mbB,"Heiligenstr. 7, 40721 Hilden",No LinkedIn link,http://www.anwalt-hilden.de/,info@anwalt-hilden.de,Nadja Kalagi LL.M.; Astrid Bösch; Brigitta Raguž LL.M.; Funda Altun-Osterholt,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Erbrecht •
BRP RENAUD,"Königstr. 28, 70173 Stuttgart",No LinkedIn link,http://www.brp.de/,info@brp.de,Barbara Günther-Reuß; Ena Borjanovic; Dr. Barbara Ackermann-Sprenger; Anja Groeneveld,Fachanwaltschaft Erbrecht •  • Internationales Recht • Mediation • Unterhaltsrecht • Unternehmensrecht & Betriebsnachfolge
